ID;Nr receptury;Receptura;Objêtoœæ;DT pocz¹tek;DT przesypanie kr.;DT za³adunek;DT beton gotowy;DT zrzut;Czas cyklu WK;Czas oczekiwania WK;Czas cyklu skipu;Czas oczekiwania skipu;Czas za³adunku mieszarki;Czas mieszania zarobu;Czas cyklu mieszarki;Czas oczekiwania mieszarki;Czas cyklu ca³kowity;Czas oczekiwania ca³kowity;Zadane: Piasek;Zadane: ¯wir 2-8;Zadane: ¯wir 8-16;Zadane: --- kr.t4;Zadane: Cement;Zadane: Popió³;Zadane: --- ce.t3;Zadane: --- ce.t4;Zadane: Plast. PowerFlow;Zadane: Utw. Rapid-600;Zadane: --- ch.t3;Zadane: --- ch.t4;Zadane: Kruszywa ca³kowite;Zadane: Cementy ca³kowite;Zadane: Chemia ca³kowita;Zadane: Woda;Zadane: Wilgotnoœæ;Zwa¿one: Piasek;Zwa¿one: ¯wir 2-8;Zwa¿one: ¯wir 8-16;Zwa¿one: --- kr.t4;Zwa¿one: Cement;Zwa¿one: Popió³;Zwa¿one: --- ce.t3;Zwa¿one: --- ce.t4;Zwa¿one: Plast. PowerFlow;Zwa¿one: Utw. Rapid-600;Zwa¿one: --- ch.t3;Zwa¿one: --- ch.t4;Wsypane kruszywa ca³kowite;Wsypane cementy ca³kowite;Wlana chemia ca³kowita;Wlana woda;Koñcowa wilgotnoœæ;Koñcowy pr¹d mieszarki;
16310;1;FILIGRAN;0,5;19.08.2024 15:38:41;19.08.2024 15:40:15;19.08.2024 15:40:48;19.08.2024 15:42:17;19.08.2024 15:43:00;107;0;71;0;46;42;131;1;259;1;425;575;0;0;175;0;0;0;1,05;0,87;0;0;1000;175;1,92;92;0;425;576;0;0;172;0;0;0;1,04;0,85;0;0;996;170;1,99;91;0;12,4;
16311;1;FILIGRAN;0,7;19.08.2024 15:52:19;19.08.2024 15:54:02;19.08.2024 15:54:36;19.08.2024 15:56:14;19.08.2024 15:56:57;116;0;71;0;49;49;141;0;278;0;595;805;0;0;245;0;0;0;1,47;1,22;0;0;1400;245;2,69;128;0;596;806;0;0;243;0;0;0;1,46;1,21;0;0;1394;238;2,78;128;0;14;
16312;1;FILIGRAN;0,7;19.08.2024 15:54:16;19.08.2024 15:55:59;19.08.2024 15:57:02;19.08.2024 15:58:35;19.08.2024 16:02:36;116;0;71;28;47;47;137;198;274;226;595;805;0;0;245;0;0;0;1,47;1,22;0;0;1400;245;2,69;128;0;595;806;0;0;242;0;0;0;1,46;1,21;0;0;1394;248;2,75;128;0;13,8;
16313;1;FILIGRAN;0,8;19.08.2024 16:07:07;19.08.2024 16:08:54;19.08.2024 16:09:28;19.08.2024 16:11:05;19.08.2024 16:11:48;121;0;71;0;50;46;139;1;281;1;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;146;0;679;920;0;0;277;0;0;0;1,68;1,39;0;0;1591;274;3,17;146;0;15,4;
16314;1;FILIGRAN;0,8;19.08.2024 16:27:28;19.08.2024 16:29:16;19.08.2024 16:29:50;19.08.2024 16:31:28;19.08.2024 16:32:11;121;0;72;0;50;48;142;0;283;0;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;146;0;680;920;0;0;277;0;0;0;1,68;1,38;0;0;1592;275;3,17;146;0;14,9;
16315;1;FILIGRAN;0,8;19.08.2024 16:37:09;19.08.2024 16:38:56;19.08.2024 16:39:30;19.08.2024 16:41:10;19.08.2024 16:41:53;121;0;70;0;50;50;143;0;285;0;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;146;0;679;920;0;0;277;0;0;0;1,68;1,39;0;0;1591;278;3,17;145;0;15,6;
16316;1;FILIGRAN;0,8;19.08.2024 16:39:10;19.08.2024 16:40:57;19.08.2024 16:41:58;19.08.2024 16:43:34;19.08.2024 16:48:44;121;0;71;26;49;47;139;267;281;293;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;146;0;680;920;0;0;276;0;0;0;1,69;1,39;0;0;1593;280;3,16;145;0;14,7;
16317;1;FILIGRAN;0,5;19.08.2024 17:01:19;19.08.2024 17:02:52;19.08.2024 17:03:26;19.08.2024 17:04:56;19.08.2024 17:05:40;107;0;70;0;45;45;133;0;261;0;425;575;0;0;175;0;0;0;1,05;0,87;0;0;1000;175;1,92;91;0;424;576;0;0;173;0;0;0;1,04;0,86;0;0;995;172;2;90;0;12,8;
16318;1;FILIGRAN;0,5;19.08.2024 17:03:06;19.08.2024 17:04:40;19.08.2024 17:05:44;19.08.2024 17:07:10;19.08.2024 17:08:59;107;0;70;30;43;44;130;65;257;95;425;575;0;0;175;0;0;0;1,05;0,87;0;0;1000;175;1,92;91;0;424;576;0;0;172;0;0;0;1,04;0,86;0;0;991;174;1,99;90;0;13,2;
16319;1;FILIGRAN;0,8;19.08.2024 17:34:59;19.08.2024 17:36:46;19.08.2024 17:37:20;19.08.2024 17:38:58;19.08.2024 17:39:41;120;0;71;0;50;47;140;1;281;1;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;146;0;680;920;0;0;279;0;0;0;1,68;1,39;0;0;1589;282;3,17;145;0;15,8;
16320;1;FILIGRAN;0,8;19.08.2024 18:43:49;19.08.2024 18:45:36;19.08.2024 18:46:10;19.08.2024 18:47:52;19.08.2024 18:48:35;121;0;71;0;51;50;145;0;287;0;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;146;0;679;921;0;0;277;0;0;0;1,66;1,4;0;0;1587;276;3,15;146;0;15,2;
16321;1;FILIGRAN;0,8;19.08.2024 18:45:50;19.08.2024 18:47:38;19.08.2024 18:48:39;19.08.2024 18:50:13;19.08.2024 18:51:34;120;0;71;27;48;46;138;37;280;64;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;146;0;679;921;0;0;276;0;0;0;1,7;1,4;0;0;1589;291;3,19;158;0;15,9;
16322;1;FILIGRAN;0,8;19.08.2024 18:52:26;19.08.2024 18:54:14;19.08.2024 18:54:48;19.08.2024 18:56:33;19.08.2024 18:57:17;121;0;70;0;55;50;148;0;290;0;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;148;0;680;920;0;0;278;0;0;0;1,67;1,39;0;0;1589;272;3,18;147;0;17,3;
16323;1;FILIGRAN;0,8;19.08.2024 18:54:28;19.08.2024 18:56:16;19.08.2024 18:57:21;19.08.2024 18:58:55;19.08.2024 19:04:29;121;0;71;31;48;47;138;290;279;321;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;148;0;681;920;0;0;275;0;0;0;1,67;1,38;0;0;1592;286;3,15;161;0;15,4;
16324;1;FILIGRAN;0,5;19.08.2024 19:14:48;19.08.2024 19:16:22;19.08.2024 19:16:56;19.08.2024 19:18:29;19.08.2024 19:19:12;107;0;71;0;47;46;136;0;264;0;425;575;0;0;175;0;0;0;1,05;0,87;0;0;1000;175;1,92;92;0;425;575;0;0;172;0;0;0;1,04;0,87;0;0;993;162;2,02;92;0;13,4;
16325;1;FILIGRAN;0,5;19.08.2024 19:16:36;19.08.2024 19:18:10;19.08.2024 19:19:16;19.08.2024 19:20:46;19.08.2024 19:23:15;107;0;70;33;46;43;132;107;259;140;425;575;0;0;175;0;0;0;1,05;0,87;0;0;1000;175;1,92;92;0;424;575;0;0;172;0;0;0;1,05;0,87;0;0;991;171;2,01;97;0;12,5;
16326;1;FILIGRAN;0,8;19.08.2024 19:36:00;19.08.2024 19:37:48;19.08.2024 19:38:22;19.08.2024 19:40:01;19.08.2024 19:43:04;121;0;71;0;50;48;142;140;284;140;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;148;0;680;920;0;0;278;0;0;0;1,66;1,39;0;0;1590;284;3,17;159;0;15,8;
16327;1;FILIGRAN;0,3;19.08.2024 19:49:44;19.08.2024 19:51:09;19.08.2024 19:51:42;19.08.2024 19:53:03;19.08.2024 19:53:47;98;0;71;0;40;41;124;0;243;0;255;345;0;0;105;0;0;0;0,63;0,52;0;0;600;105;1,15;55;0;254;346;0;0;102;0;0;0;0,61;0,48;0;0;594;96;1,19;54;0;11,4;
16328;1;FILIGRAN;0,6;19.08.2024 19:59:51;19.08.2024 20:01:30;19.08.2024 20:02:04;19.08.2024 20:03:41;19.08.2024 20:04:24;112;0;69;0;48;49;141;0;274;0;510;690;0;0;210;0;0;0;1,26;1,05;0;0;1200;210;2,31;114;0;510;690;0;0;207;0;0;0;1,26;1,05;0;0;1192;207;2,42;113;0;14,1;
16329;1;FILIGRAN;0,5;19.08.2024 20:01:44;19.08.2024 20:03:18;19.08.2024 20:04:28;19.08.2024 20:05:56;19.08.2024 20:08:04;107;0;72;36;45;43;131;85;260;121;425;575;0;0;175;0;0;0;1,05;0,87;0;0;1000;175;1,92;95;0;425;576;0;0;172;0;0;0;1,04;0,87;0;0;993;173;1,99;100;0;12,6;
